ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5449950,epinephrine {adrenaline},肾上腺素,,107.03.22,nan,2023-01-17
5449951,Epsom salt,泻盐 {硫酸镁},,107.03.22,nan,2023-01-17
5449952,equilibrium constant,平衡常数,,105.01.15,Remington,2023-01-17
5449953,equipment,设备,,103.12.18,GMP,2023-01-17
5449954,equipment layout,设备配置,,103.12.18,GMP,2023-01-17
5449955,equipment train,设备链,,103.12.18,GMP,2023-01-17
5449956,equivalent,当量,,105.01.15,Remington,2023-01-17
5449957,ergocalciferol,麦角钙化固醇；维生素D2,,105.01.15,Remington,2023-01-17
5449958,ergometrine {ergonovine},麦角新碱,,107.03.22,Remington,2023-01-17
5449959,ergonovine maleate,缩苹酸麦角新碱,,nan,化学药品,2023-01-17
5449960,ergot,麦角,,101.06.07,国立编译馆,2023-01-17
5449961,ergot alkaloids,麦角生物碱,,nan,nan,2023-01-17
5449962,ergotamine,麦角胺,,105.01.15,Remington,2023-01-17
5449963,ergotamine tartrate,酒石酸麦角胺,,nan,化学药品,2023-01-17
5449964,eriodictyon,北美圣草；毛网草,,101.05.17,国编馆,2023-01-17
5449965,erosion-controlled systems,溶蚀控制系统,,105.01.15,Remington,2023-01-17
5449966,erythrocytes,红血球,,105.01.15,Remington,2023-01-17
5449967,erythromycin,红丝菌素,,107.10.18,nan,2023-01-17
5449968,erythromycin estolate,红霉素硫酸月桂酯盐,,108.10.22,化学药品,2023-01-17
5449969,Erythromycin lactobionate,乳糖酸酯红霉素,,nan,化学药品,2023-01-17
5449970,Erythromycin stearate,硬脂酸酯红霉素,,nan,化学药品,2023-01-17
5449971,erythropoietin {=EPO},红血球生成素,,105.01.15,Remington,2023-01-17
5449972,escharotics,腐蚀剂,,105.01.15,Remington,2023-01-17
5449973,esophageal spasm,食道痉挛,,105.01.15,Remington,2023-01-17
5449974,esophageal stricture,食道狭窄,,105.01.15,Remington,2023-01-17
5449975,esophagus,食道,,105.01.15,Remington,2023-01-17
5449976,essences,香精剂,,nan,国编馆,2023-01-17
5449977,essential amino acids,必需胺基酸,,nan,nan,2023-01-17
5449978,essential fatty acids,必需脂肪酸,,nan,nan,2023-01-17
5449979,essential oils,精油,,nan,nan,2023-01-17
5449980,ester value,酯价,,107.08.17,nan,2023-01-17
5449981,esters,酯类,,105.01.15,Remington,2023-01-17
5449983,estrogenic hormone,雌激素,,105.01.15,Remington,2023-01-17
5449984,estrogens,雌激素类,,nan,nan,2023-01-17
5449985,ethanedisulfonic acid salt {edisylate},乙二磺酸盐,,102.02.20,nan,2023-01-17
5449986,ethanol,乙醇,,nan,nan,2023-01-17
5449987,ethanol-soluble extractives,乙醇抽提物,,nan,nan,2023-01-17
5449988,ether,乙醚,,107.05.14,通则试药与溶液,2023-01-17
5449989,ether for anesthesia,麻醉用醚,,nan,国编馆,2023-01-17
5449990,ethers,醚类,,105.01.15,Remington,2023-01-17
5449991,ether-soluble extractives,乙醚抽提物,,nan,nan,2023-01-17
5449992,ethics,伦理学,,105.01.15,Remington,2023-01-17
5449993,ethics committee,伦理委员会,,103.12.18,GMP,2023-01-17
5449994,ethyl acetate,乙酸乙酯,,107.05.14,通则试药与溶液,2023-01-17
5449995,ethyl paraben,对羟苯甲酸乙酯,,105.01.15,Remington,2023-01-17
5449996,ethyl silane,乙基矽烷,,108.04.25,nan,2023-01-17
5449997,ethylcellulose,乙基纤维素,,105.01.15,Remington,2023-01-17
5449998,ethylene oxide,环氧乙烷,,105.01.15,Remington,2023-01-17
5449999,ethylenediamine,乙二胺,,103.02.13,中华药典,2023-01-17
5450000,ethylenediaminetetraacetic acid {=EDTA},乙二胺四乙酸,,102.11.06,中华药典,2023-01-17
5450001,ethylvinylbenzene,乙基乙烯苯,,108.04.25,nan,2023-01-17
5450002,eucalyptol,桉油醇,,nan,国编馆,2023-01-17
5450003,eucalyptus,桉叶,,101.05.17,国编馆,2023-01-17
5450004,eucalyptus oil,桉叶油,,101.09.06,国立编译馆,2023-01-17
5450005,eucommia,杜仲,,nan,nan,2025-01-10
5450006,eugenol,丁香酚,,nan,国编馆,2023-01-17
5450007,euodia,吴茱萸,,nan,nan,2025-01-10
5450008,Euodiae Fructus,吴茱萸果,,nan,nan,2025-01-10
5450009,eupatorium {Eupatorii Herba},佩兰,,103.07.17,中医药,2023-01-17
5450010,European Organization for Quality {=EOQ},欧洲品质组织,,107.03.22,nan,2023-01-17
5450011,euryale [seed] {Euryales Semen},芡实,,107.03.22,中医药,2023-01-17
5450012,eutectic mixture,共熔混合物；共融混合物,,nan,nan,2023-01-17
5450013,eutectic point,共熔点；共融点,,nan,nan,2023-01-17
5450014,evaporative light scattering detector {=ELSD},蒸发光散射侦测器,,105.01.15,Remington,2023-01-17
5450015,evening primrose oil {=EPO},月见油,,103.09.11,健康食品,2023-01-17
5450016,evidence-based pharmacy,实证药学,,105.01.15,Remington,2023-01-17
5450017,ex vivo test,拟体内试验,,nan,nan,2023-01-17
5450018,excipient,赋形剂；辅料；副料,,107.03.22,GMP,2023-01-17
5450019,excretion,排泄；排出,,nan,nan,2023-01-17
5450021,exhaust air,排气,,103.12.18,GMP,2023-01-17
5450022,exocrine,外分泌,,105.01.15,Remington,2023-01-17
5450023,exonuclease,外切酶,,102.04.18,nan,2023-01-17
5450024,exotic organism,异域生物体,,103.12.18,GMP,2023-01-17
5450025,exotoxin,外毒素,,107.03.22,nan,2023-01-17
5450026,expectorants,祛痰剂,,nan,nan,2023-01-17
5450027,expiration date,末效日期；有效日期,,105.10.20,GMP,2023-01-17
5450028,expiry date,失效日,,nan,nan,2023-01-17
5450029,exponent,指数,,105.01.15,Remington,2023-01-17
5450030,export certificate,外销证明书,,103.12.18,GMP,2023-01-17
5450031,extemporaneous preparations,即时调配；临时调配,,105.01.15,Remington,2023-01-17
5450032,extemporaneous prescription compounding,即时处方调剂,,105.01.15,Remington,2023-01-17
5450033,extended-release,延释；延续释放,,101.05.17,nan,2023-01-17
5450034,external use,外用,,101.05.17,nan,2023-01-17
5450035,extract,抽提(物)；萃取(物),,104.09.22,nan,2023-01-17
5450036,extract of glycyrrhiza,甘草浸膏,,nan,nan,2023-01-17
5450037,extract of licorice,甘草浸膏,,nan,国编馆,2023-01-17
5450038,extract of rhubarb,大黄浸膏,,nan,国编馆,2023-01-17
5450039,extract of scopolia,东莨菪浸膏,,nan,国编馆,2023-01-17
5450040,extractables,可萃取物,,107.09.13,nan,2023-01-17
5450041,extraction,抽提；萃取,,102.06.13,中华无菌制剂协会,2023-01-17
5450042,extractor,抽提器,,nan,nan,2023-01-17
5450043,extracts,抽提物；萃取物；浸膏剂,,105.09.22,nan,2023-01-17
5450044,extraneous contaminant,外来污染物,,107.03.22,ICH Q3A,2023-01-17
5450045,extrapolation coefficient,外插系数,,nan,nan,2023-01-17
5450046,eye drops,点眼剂,,105.09.22,nan,2023-01-17
5450047,eyebright,小米草,,103.09.11,健康食品,2023-01-17
5450048,eye-wash,洗眼液,,nan,国编馆,2023-01-17
5450049,ezetimibe,依泽替米贝,,nan,化学药品,2023-01-17
5450050,fabricate,制造,,103.12.18,GMP,2023-01-17
5450051,facilities,设施；设备,,103.12.18,GMP,2023-01-17
5450052,factor analysis,因数分析,,nan,nan,2023-01-17
5450053,Factor IX complex,第九凝血因子复合体,,nan,nan,2023-01-17
5450054,factorial experiment,析因实验,,nan,nan,2023-01-17
5450055,factory acceptance test,工厂验收测试,,103.12.18,GMP,2023-01-17
5450056,factory acceptance test {=FAT},出厂验收,,104.02.26,nan,2023-01-17
5450057,falsified medicine,伪药,,104.07.09,GMP,2023-01-17
5450059,faradaic current,电解电流,,nan,nan,2023-01-17
5450060,fast green FCF,食用绿色三号,,nan,nan,2023-01-17
5450061,fat,脂肪,,nan,nan,2023-01-17
5450062,fat emulsion,脂肪乳剂,,105.02.19,Remington,2023-01-17
5450063,fat-soluble,脂溶性,,105.02.19,Remington,2023-01-17
5450064,fatty acid,脂肪酸,,105.02.19,Remington,2023-01-17
5450065,feasibility,可行性,,105.02.19,Remington,2023-01-17
5450066,fecal softeners,软便剂,,105.02.19,Remington,2023-01-17
5450067,fed-batch fermentation,分批补料发酵,,nan,nan,2023-01-17
5450068,Federal Anti-tampering Act,美国联邦防篡法案,,105.02.19,Remington,2023-01-17
5450069,Federation of Asian Pharmaceutical Associations {=FAPA},亚洲药学会,,nan,nan,2023-01-17
5450070,feeding,补料,,nan,nan,2023-01-17
5450071,Fehling test,菲林试验,,nan,nan,2023-01-17
5450072,Fehling's reaction,菲林反应,,102.03.14,中华无菌制剂协会,2023-01-17
5450073,fennel {Foeniculi Fructus},小茴香,,103.07.17,中医药,2023-01-17
5450074,fenugreek,葫芦巴,,107.03.22,健康食品,2023-01-17
5450075,fermentation,发酵,,nan,nan,2023-01-17
5450076,fermented medicines,曲剂,,nan,nan,2023-01-17
5450077,fermented soybean {Sojae Semen Praeparatum},淡豆豉,,107.03.22,中医药,2023-01-17
5450078,fermenter,酦酵槽,,103.12.18,GMP,2023-01-17
5450079,ferric chloride,氯化铁,,107.05.14,通则试药与溶液,2023-01-17
5450080,ferric citrate,柠檬酸铁,,102.08.13,国立编译馆,2023-01-17
5450081,ferric phosphate,磷酸铁,,102.08.13,国立编译馆,2023-01-17
5450082,fetal toxicity,胚胎毒性,,nan,nan,2023-01-17
5450083,fetid cassia [seed] {Cassiae Semen},决明子,,107.03.22,中医药,2023-01-17
5450084,feverfew,小白菊,,107.03.22,健康食品,2023-01-17
5450085,fibrinogen degradation products,纤维蛋白原降解物,,105.02.19,Remington,2023-01-17
5450086,fibrinolysis,血纤蛋白分解,,nan,nan,2023-01-17
5450087,fibrinolytic inhibitors,纤维蛋白溶解抑制剂,,105.02.19,Remington,2023-01-17
5450088,fibrinolytics,血纤蛋白分解药,,nan,nan,2023-01-17
5450089,Fick's first law of diffusion,菲克扩散定律,,105.02.19,Remington,2023-01-17
5450090,filling,充填法,,nan,nan,2023-01-17
5450091,filling machine,充填机,,nan,nan,2023-01-17
5450092,filling processes,充填作业,,nan,nan,2023-01-17
5450093,film coated tablet,膜衣锭,,nan,nan,2023-01-17
5450094,film coating,膜衣,,nan,nan,2023-01-17
5450095,filter,滤器,,nan,nan,2023-01-17
5450096,filter aid,助滤剂,,nan,nan,2023-01-17
5450097,filter paper,滤纸,,105.02.19,Remington,2023-01-17
5450098,filtrate,滤液,,nan,nan,2023-01-17
5450099,filtration,过滤,,nan,nan,2023-01-17
5450100,filtration sterilization,过滤灭菌,,nan,nan,2023-01-17
5450101,final product release testing,最终产品放行测试,,105.02.19,Remington,2023-01-17
5450102,fineness of the particle,颗粒细度,,nan,nan,2023-01-17
5450103,fingered citron,佛手柑,,103.06.19,中医药,2023-01-17
5450104,fingered citron {Citri Sarcodactylis Fructus},佛手；佛手柑,,103.08.14,nan,2023-01-17
5450105,fingerprint [region],指纹[区],,107.03.22,nan,2023-01-17
5450106,finish surface,抛光面,,103.12.18,GMP,2023-01-17
5450107,finished pharmaceutical product {=FPP},最终药物产品,,103.12.18,GMP,2023-01-17
5450108,finished product,成品,,nan,nan,2023-01-17
5450109,first order kinetics,一级动力学,,nan,nan,2023-01-17
5450110,first pass effect,首渡效应,,nan,nan,2023-01-17
5450111,first-aid,急救,,105.02.19,Remington,2023-01-17
5450112,first-aid treatment,急救处理,,105.02.19,Remington,2023-01-17
5450113,first-dose response,首剂效应,,nan,nan,2023-01-17
5450114,fission,分裂,,105.02.19,Remington,2023-01-17
5450115,fixed oils,固定油；不挥发油,,105.02.19,Remington,2023-01-17
5450116,flame emission detector,火焰发射检测器,,105.09.22,Remington,2023-01-17
5450117,Flavescent sophora [root] {Sophorae Flavescentis Radix},苦参,,107.03.22,中医药,2023-01-17
5450118,flavonoid glycoside,类黄酮苷,,nan,nan,2023-01-17
5450119,flavonoids,类黄酮,,nan,nan,2023-01-17
5450120,flavoring agent,香味剂；矫味剂,,101.02.09,nan,2023-01-17
5450121,flaxseed,亚麻仁,,107.03.22,健康食品,2023-01-17
5450122,fleeceflower root {Polygoni Multiflori Radix},何首乌,,103.08.14,nan,2023-01-17
5450123,flexible collodion,弹性胶棉,,nan,国编馆,2023-01-17
5450124,flocculating agents,絮凝剂,,104.11.20,Remington,2023-01-17
5450125,flocculation,絮凝,,nan,nan,2023-01-17
5450126,flocs,絮凝物,,105.02.19,Remington,2023-01-17
5450127,flowery knotweed root {Polygoni Multiflori Radix},何首乌,,103.08.14,中医药,2023-01-17
5450128,fluconazole,氟康那唑,,nan,化学药品,2023-01-17
5450129,fludrocortisone acetate,氟可体松乙酸酯,,107.10.18,nan,2023-01-17
5450130,fluid extract of polygala,远志流浸膏,,nan,国编馆,2023-01-17
5450131,fluid extracts,流浸膏,,nan,nan,2023-01-17
5450132,fluid-bed,流体床,,105.02.19,Remington,2023-01-17
5450133,fluidextracts,流浸膏剂,,nan,nan,2023-01-17
5450134,fluidity,流动性,,nan,nan,2023-01-17
5450135,fluidized bed coating,流动床著衣,,nan,nan,2023-01-17
5450136,fluidized bed granulation,流动床造粒,,nan,nan,2023-01-17
5450137,flumazenil,福玛珍,,nan,化学药品,2023-01-17
5450138,fluocinolone acetonide,丙酮氟洛皮质醇,,nan,化学药品,2023-01-17
5450139,fluocinonide,氟洛奈皮质醇,,nan,化学药品,2023-01-17
5450140,fluorescein sodium,萤光素钠,,105.02.19,Remington,2023-01-17
5450141,fluorescence,萤光,,105.02.19,Remington,2023-01-17
5450142,fluorescence immunoassay {=FIA},萤光免疫分析法,,101.02.09,nan,2023-01-17
5450143,fluorescence polarization immunoassay {=FPIA},萤光偏极免疫分析,,nan,nan,2023-01-17
5450144,fluorescence spectroscopy,萤光光谱法,,107.08.17,nan,2023-01-17
5450145,fluorescent agents,萤光剂,,nan,nan,2023-01-17
5450146,fluorimetry,萤光光度测定法,,nan,nan,2023-01-17
5450147,fluorometry,萤光测定法,,105.02.19,Remington,2023-01-17
5450149,flurbiprofen sodium,氟白普洛芬钠,,nan,化学药品,2023-01-17
5450150,fluticasone propionate,氟替皮质醇丙酸酯,,108.10.22,化学药品,2023-01-17
5450151,foam test,泡沫试验,,nan,nan,2023-01-17
5450152,foaming agents,发泡剂,,nan,nan,2023-01-17
5450153,foams,泡沫剂,,nan,nan,2023-01-17
5450154,folic acid,叶酸,,nan,nan,2023-01-17
5450155,folk medicines,民间药,,nan,nan,2023-01-17
5450156,follow-up,追踪,,105.02.19,Remington,2023-01-17
5450157,fomentations,热敷剂,,nan,国编馆,2023-01-17
5450158,food additives,食品添加物,,nan,nan,2023-01-17
5450159,foreign substance,杂质；异物,,101.02.09,nan,2023-01-17
5450160,formaldehyde,甲醛,,101.02.09,nan,2023-01-17
5450161,formalin,福马林；甲醛溶液,,102.08.13,nan,2023-01-17
5450162,formic acid,甲酸；蚁酸,,101.02.09,nan,2023-01-17
5450163,formula,配方；处方,,105.02.19,Remington,2023-01-17
5450164,formulary,处方集,,nan,nan,2023-01-17
5450165,forsythia {Forsthiae Fructus},连翘,,103.07.17,中医药,2023-01-17
5450166,fossil wax,化石蜡,,105.02.19,Remington,2023-01-17
5450167,Fo-Ti,何首乌,,103.09.11,健康食品,2023-01-17
5450168,Fourier transform {=FT},傅立叶转换,,102.06.13,中华无菌制剂协会,2023-01-17
5450169,Fourier-transform,傅立叶转换,,105.02.19,Remington,2023-01-17
5450170,Fourier-transform IR spectrophotometer（FTIR spectrophotometer）,傅立叶转换红外光光谱仪,,nan,nan,2025-01-10
5450171,fractional sterilization；intermittent sterilization,分次灭菌(法)；间歇灭菌 (法),,107.10.18,nan,2023-01-17
5450172,fractured surface,折断面,,nan,nan,2023-01-17
5450173,fragrant solomonseal rhizome {Polygonati Odorati Rhizoma},玉竹,,107.03.22,中医药,2023-01-17
5450174,free energy,自由能,,105.02.19,Remington,2023-01-17
5450175,free radical,自由基,,102.03.14,中华无菌制剂协会,2023-01-17
5450176,free sale certificate,销售证明书,,107.03.22,nan,2023-01-17
5450177,freeze drying,冷冻干燥法,,107.03.22,nan,2023-01-17
5450178,freeze-dried products,冷冻干燥制剂；冻晶制剂,,107.03.22,nan,2023-01-17
5450179,freezing point,凝固点,,105.02.19,Remington,2023-01-17
5450180,frequency,频率,,105.02.19,Remington,2023-01-17
5450181,friability,脆度,,nan,nan,2023-01-17
5450182,friction,摩擦,,105.02.19,Remington,2023-01-17
5450183,fritillaria bulb {Fritillariae Bulbus},贝母,,103.07.17,中医药,2023-01-17
5450184,frontal analysis,前端分析；前沿分析,,105.02.19,Remington,2023-01-17
5450185,fructose,果糖,,105.02.19,Remington,2023-01-17
5450186,fuchsin,品红,,101.02.09,nan,2023-01-17
5450187,fumarate,延胡索酸盐,,102.03.14,nan,2023-01-17
5450188,fumigants,熏剂,,nan,nan,2023-01-17
5450189,functional,机能性的,,105.02.19,Remington,2023-01-17
5450190,fungicides,杀真菌剂,,105.02.19,Remington,2023-01-17
5450191,fungus,真菌,,nan,nan,2023-01-17
5450192,funnel,漏斗,,105.02.19,Remington,2023-01-17
5450193,furanose,呋喃糖,,107.03.22,nan,2023-01-17
5450194,fusion,熔合；融合,,105.02.19,Remington,2023-01-17
5450195,G protein-coupled receptors {=GPCRs},G蛋白偶联受体,,106.11.09,药化,2023-01-17
5450196,Gadodiamide,钆双醯胺,,107.10.18,nan,2023-01-17
5450197,galactagogues,催乳剂,,nan,国编馆,2023-01-17
5450198,galactopoietics,催乳药,,107.03.22,nan,2023-01-17
5450199,galactose,半乳糖,,107.03.22,nan,2023-01-17
5450200,galenical preparations,葛伦制剂；生药制剂,,101.12.12,nan,2023-01-17
5450201,gall,胆汁,,101.11.14,国立编译馆,2023-01-17
5450202,gall bladder,胆囊,,105.02.19,Remington,2023-01-17
5450203,gallic acid,没食子酸,,101.02.09,nan,2023-01-17
5450204,gallotannins,没食子鞣质,,101.02.09,nan,2023-01-17
5450205,gallstones,胆结石,,105.02.19,Remington,2023-01-17
5450206,gamboge,藤黄,,nan,国编馆,2023-01-17
5450207,gamma benzene hexachloride {=γ-BHC},γ-六氯环己烷,,107.04.19,Remington,2023-01-17
5450208,gamma irradiators,伽㐷照射仪,,101.02.09,nan,2023-01-17
5450209,ganglion blockers,神经节阻断剂,,107.03.22,nan,2023-01-17
5450210,ganoderma,灵芝,,103.07.17,中医药,2023-01-17
5450211,gardenia [fruit] {Gardeniae Fructus},栀子,,107.03.22,中医药,2023-01-17
5450212,gargle,嗽口剂,,101.02.09,nan,2023-01-17
5450213,gargle water,漱口水；漱口剂,,nan,国编馆,2023-01-17
5450214,gargles,含漱剂,,105.02.19,Remington,2023-01-17
5450215,gas adsorption method,气体吸附测定法,,105.02.19,Remington,2023-01-17
5450216,gas chromatography {=GC},气相层析法,,107.03.22,nan,2023-01-17
5450217,gastric emptying rate,胃排空速率,,105.02.19,Remington,2023-01-17
5450218,gastric lavage,洗胃,,101.04.12,nan,2023-01-17
5450219,gastric transit time,滞胃时间,,103.02.13,中华无菌制剂协会,2023-01-17
5450220,gastrodia [root] {Gastrodiae Rhizoma},天麻,,107.03.22,中医药,2023-01-17
