ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6254931,detection efficiency,侦检效率,,,2020-01-07
6254932,detector,侦检器,,,2020-01-07
6254933,deterministic effect,确定效应,,,2020-01-07
6254934,deuterium,氘；重氢,,,2020-01-07
6254935,deuteron,氘核,,,2020-01-07
6254936,developing,(胶片)显影,,,2020-01-07
6254937,developing agent,(胶片)显影剂,,,2020-01-07
6254938,diamagnetic substance,反磁性物质,,,2020-01-07
6254939,diameter transversa,横径,,,2020-01-07
6254940,diaphragm,横膈膜,,,2020-01-07
6254941,diastematomyelia,脊髓纵裂,,,2020-01-07
6254942,differential diagnosis,鉴别诊断,,,2020-01-07
6254943,diffuse,弥漫性,,,2020-01-07
6254944,diffuse axonal injury　{=DAI},弥漫性轴突损伤,,,2020-01-07
6254945,diffuse idiopathic skeletal hyperostosis {=DISH},特发性弥漫性骨质增生症,,,2020-01-07
6254946,digital image,数位影像,,,2020-01-07
